"05";5101
"13";655
"21";6973
"29";14289
"37";4414
"45";5148
"53";9641
"61";390
"69";9875
"77";2902
"85";483
"93";7613
"04";5819
"12";3338
"20";11091
"28";9438
"36";10920
"44";23899
"52";6568
"60";5320
"68";8783
"76";2855
"84";7847
"92";11404
"06";5928
"14";13946
"22";9048
"30";6302
"38";3230
"46";8065
"54";13868
"62";10530
"70";9688
"78";8049
"86";1139
"94";4821
"07";2574
"15";13959
"23";871
"31";9717
"39";12547
"47";23732
"55";4513
"63";601
"71";4513
"79";5180
"87";2059
"95";9882
"01";23744
"09";7456
"17";686
"25";11419
"33";4337
"41";11170
"49";35178
"57";9250
"65";10561
"73";8112
"81";8128
"89";9969
"97";9221
"02";23371
"10";9309
"18";4995
"26";14057
"34";11262
"42";659
"50";8840
"58";10536
"66";7359
"74";27075
"82";3956
"90";9485
"98";12590
"03";21622
"11";3338
"19";6209
"27";9017
"35";3370
"43";24008
"51";10389
"59";7176
"67";9204
"75";14804
"83";13822
"91";8876
"99";12324
"00";26255
"08";13837
"16";6053
"24";2964
"32";11248
"40";6927
"48";16801
"56";2839
"64";26739
"72";6069
"80";13868
"88";7551
"96";21124
