"05";5101
"13";639
"21";6708
"29";14523
"37";4399
"45";5210
"53";9968
"61";405
"69";10000
"77";2949
"85";499
"93";7597
"04";5756
"12";3152
"20";11325
"28";9563
"36";10826
"44";23727
"52";6584
"60";5085
"68";8892
"76";2808
"84";7785
"92";11264
"06";5647
"14";13712
"22";8892
"30";6271
"38";3354
"46";8081
"54";14321
"62";10515
"70";9937
"78";7925
"86";1170
"94";4823
"07";2683
"15";14134
"23";873
"31";9938
"39";12948
"47";23618
"55";4836
"63";593
"71";4524
"79";4930
"87";2044
"95";10033
"01";23916
"09";7426
"17";671
"25";10701
"33";4321
"41";11076
"49";34710
"57";9485
"65";10686
"73";8284
"81";8221
"89";10030
"97";9548
"03";21888
"11";3400
"19";6428
"27";8752
"35";3354
"43";23962
"51";10234
"59";6849
"67";9032
"75";14555
"83";13946
"91";8331
"99";11872
"00";27020
"08";14243
"16";6302
"24";3011
"32";11466
"40";7176
"48";16692
"56";2823
"64";27378
"72";5928
"80";13821
"88";7738
"96";22343
