,qtd,media,std,min,25,50,75,max
distributed,100.0,9456.19,5516.4,934.2,5615.15,8625.5,11258.7,30987.8
centralized,100.0,32722.53,26593.38,1817.6,14345.15,26286.6,46783.55,151384.6
