image,0,1,2,5,6
0,6411,5101,4945,4945,5133
1,7035,655,686,702,671
2,6933,6973,6614,6755,6552
3,6178,14289,14493,15054,14321
4,5990,4414,4337,4618,4290
5,5538,5148,5507,5164,5163
6,6151,9641,9703,9688,9609
7,3033,390,421,406,421
8,13837,9875,9844,9891,9734
9,7347,2902,2761,2948,2902
10,9093,483,468,515,484
11,3604,7613,7644,7675,7582
12,3261,5819,5803,5819,5866
13,671,3338,3136,3136,3135
14,13754,11091,11685,11247,11466
15,14048,9438,9157,9516,9454
16,6178,10920,10873,10920,10592
17,671,23899,23728,23619,23712
18,5052,6568,6630,6614,6412
19,6255,5320,5101,5304,5070
20,11326,8783,8877,8767,8611
21,6661,2855,2855,2980,2839
22,9142,7847,7379,7706,7597
23,976,11404,11732,11576,11171
24,2964,5928,5803,2528,5788
