"05";4618
"13";593
"21";6334
"29";13369
"37";3931
"45";4665
"53";8720
"61";359
"69";8860
"77";2590
"85";452
"93";6864
"04";5380
"12";3005
"20";10266
"28";8676
"36";9913
"44";22434
"52";6355
"60";4674
"68";7994
"76";2580
"84";6764
"92";10232
"07";2412
"15";12728
"23";901
"31";8698
"39";11881
"47";21876
"55";4280
"63";521
"71";4178
"79";4417
"87";1869
"95";9000
"06";5362
"14";13158
"22";8345
"30";5679
"38";2978
"46";7311
"54";12898
"62";9808
"70";9168
"78";7259
"86";1007
"94";4456
"01";21468
"09";6922
"17";612
"25";9935
"33";4204
"41";10340
"49";33518
"57";8711
"65";10196
"73";7417
"81";7621
"89";9252
"97";9026
"03";18371
"11";3222
"19";5767
"27";8315
"35";3093
"43";22624
"51";10115
"59";7018
"67";8436
"75";13776
"83";13050
"91";7842
"99";11254
"02";21359
"10";8589
"18";4696
"26";13703
"34";10883
"42";626
"50";7977
"58";9648
"66";6783
"74";25586
"82";3603
"90";9095
"98";12370
"00";20033
"08";13431
"16";6349
"24";2792
"32";10936
"40";6567
"48";15210
"56";2636
"64";25069
"72";5741
"80";12917
"88";7144
"96";20970
